Description,count
Southwest Airlines Co.,1168871
American Airlines Inc.,633857
Skywest Airlines Inc.,597882
American Eagle Airlines Inc.,540494
United Air Lines Inc.,490002
US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),485447
Delta Air Lines Inc.,475889
Expressjet Airlines Inc.,434773
Northwest Airlines Inc.,414526
Continental Air Lines Inc.,323151
Mesa Airlines Inc.,294362
Atlantic Southeast Airlines,286234
AirTran Airways Corporation,263159
Pinnacle Airlines Inc.,258851
Comair Inc.,233787
JetBlue Airways,191450
Alaska Airlines Inc.,160185
Frontier Airlines Inc.,97760
Hawaiian Airlines Inc.,56175
Aloha Airlines Inc.,46360
